size: 1 k, time Host to Device: 11.700000 ms
size: 2 k, time Host to Device: 12.600000 ms
size: 4 k, time Host to Device: 13.466666 ms
size: 8 k, time Host to Device: 19.666666 ms
size: 16 k, time Host to Device: 1539.066650 ms
size: 32 k, time Host to Device: 67.699997 ms
size: 64 k, time Host to Device: 86.466667 ms
size: 128 k, time Host to Device: 162.166672 ms
size: 256 k, time Host to Device: 304.899994 ms
size: 512 k, time Host to Device: 645.433350 ms
size: 16 k, time Host to Device: 56.500000 ms
size: 1024 k, time Host to Device: 1013.299988 ms
size: 1024 k, time Host to Device: 1199.766724 ms
size: 1024 k, time Host to Device: 1243.366699 ms
size: 2048 k, time Host to Device: 5525.299805 ms
size: 4096 k, time Host to Device: 4047.033447 ms
size: 8196 k, time Host to Device: 8887.466797 ms
size: 16384 k, time Host to Device: 18273.099609 ms
size: 32768 k, time Host to Device: 29746.732422 ms
size: 65536 k, time Host to Device: 73312.429688 ms
size: 131072 k, time Host to Device: 137917.328125 ms
size: 262144 k, time Host to Device: 261403.171875 ms
size: 524288 k, time Host to Device: 543245.250000 ms
size: 2048 k, time Host to Device: 2083.866699 ms
