Number of Threads: 1 ,processors: 2 ,Image-Height: 256 ,Image-Width: 256 ,Sigma: 0.600000 ,End to End time: 3065573 ,computation time: 3060493 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 256 ,Image-Width: 256 ,Sigma: 0.600000 ,End to End time: 2681676 ,computation time: 2676526 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 256 ,Image-Width: 256 ,Sigma: 0.600000 ,End to End time: 2716462 ,computation time: 2711319 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 256 ,Image-Width: 256 ,Sigma: 0.600000 ,End to End time: 3774001 ,computation time: 3767997 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 256 ,Image-Width: 256 ,Sigma: 0.600000 ,End to End time: 3778974 ,computation time: 3773789 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 256 ,Image-Width: 256 ,Sigma: 0.600000 ,End to End time: 3899694 ,computation time: 3893738 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 1024 ,Image-Width: 1024 ,Sigma: 0.600000 ,End to End time: 3265444 ,computation time: 3220454 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 1024 ,Image-Width: 1024 ,Sigma: 0.600000 ,End to End time: 3292435 ,computation time: 3246690 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 1024 ,Image-Width: 1024 ,Sigma: 0.600000 ,End to End time: 3471567 ,computation time: 3425231 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 1024 ,Image-Width: 1024 ,Sigma: 0.600000 ,End to End time: 4116084 ,computation time: 4074158 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 1024 ,Image-Width: 1024 ,Sigma: 0.600000 ,End to End time: 4354486 ,computation time: 4308075 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 1024 ,Image-Width: 1024 ,Sigma: 0.600000 ,End to End time: 4078533 ,computation time: 4031092 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 4096 ,Image-Width: 4096 ,Sigma: 0.600000 ,End to End time: 5561999 ,computation time: 5012073 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 4096 ,Image-Width: 4096 ,Sigma: 0.600000 ,End to End time: 5564303 ,computation time: 4980724 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 4096 ,Image-Width: 4096 ,Sigma: 0.600000 ,End to End time: 5448630 ,computation time: 4897902 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 4096 ,Image-Width: 4096 ,Sigma: 0.600000 ,End to End time: 6010072 ,computation time: 5460012 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 4096 ,Image-Width: 4096 ,Sigma: 0.600000 ,End to End time: 5992204 ,computation time: 5433754 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 4096 ,Image-Width: 4096 ,Sigma: 0.600000 ,End to End time: 6020023 ,computation time: 5459460 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 7680 ,Image-Width: 7680 ,Sigma: 0.600000 ,End to End time: 12336419 ,computation time: 10556703 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 7680 ,Image-Width: 7680 ,Sigma: 0.600000 ,End to End time: 12337383 ,computation time: 10511252 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 7680 ,Image-Width: 7680 ,Sigma: 0.600000 ,End to End time: 12475582 ,computation time: 10648578 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 7680 ,Image-Width: 7680 ,Sigma: 0.600000 ,End to End time: 11741269 ,computation time: 9904470 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 7680 ,Image-Width: 7680 ,Sigma: 0.600000 ,End to End time: 11628595 ,computation time: 9784849 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 7680 ,Image-Width: 7680 ,Sigma: 0.600000 ,End to End time: 11941224 ,computation time: 10101009 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 10240 ,Image-Width: 10240 ,Sigma: 0.600000 ,End to End time: 20238055 ,computation time: 16685851 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 10240 ,Image-Width: 10240 ,Sigma: 0.600000 ,End to End time: 20309276 ,computation time: 16812948 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 10240 ,Image-Width: 10240 ,Sigma: 0.600000 ,End to End time: 20527662 ,computation time: 16951303 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 10240 ,Image-Width: 10240 ,Sigma: 0.600000 ,End to End time: 19840950 ,computation time: 15699629 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 10240 ,Image-Width: 10240 ,Sigma: 0.600000 ,End to End time: 19727428 ,computation time: 15526627 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 10240 ,Image-Width: 10240 ,Sigma: 0.600000 ,End to End time: 19242257 ,computation time: 15160048 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 12800 ,Image-Width: 12800 ,Sigma: 0.600000 ,End to End time: 30976503 ,computation time: 24862120 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 12800 ,Image-Width: 12800 ,Sigma: 0.600000 ,End to End time: 30700870 ,computation time: 24680020 ,
Number of Threads: 1 ,processors: 2 ,Image-Height: 12800 ,Image-Width: 12800 ,Sigma: 0.600000 ,End to End time: 30891446 ,computation time: 24831921 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 12800 ,Image-Width: 12800 ,Sigma: 0.600000 ,End to End time: 28613791 ,computation time: 21732399 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 12800 ,Image-Width: 12800 ,Sigma: 0.600000 ,End to End time: 29074671 ,computation time: 22401729 ,
Number of Threads: 1 ,processors: 4 ,Image-Height: 12800 ,Image-Width: 12800 ,Sigma: 0.600000 ,End to End time: 29410107 ,computation time: 22444513 ,
